text,label
Net sales decreased to EUR 220.5 mn from EUR 470.0 mn in the corresponding period in 2009 ,negative
SRV lowered its net sales estimate for the whole of 2008 due to uncertainties in housing sales ,negative
"At the end of March 2009 , the company 's loans amounted to EUR 10.113 mn ",neutral
"The portfolio comprises of 118,000 m2 of leasable space with a vacancy rate of roughly 5 % , let to around 140 tenants of which two of the largest are the Swedish government and Ericsson ",neutral
A CUT ABOVE Bring the outdoors in with these birch-branch coasters ,neutral
Construction volumes meanwhile grow at a rate of 10-15 percent annually ,positive
Operating profit of the Asian plants grew markedly ,positive
"India 's trade with Russia currently stands at four billion dollars , growing 9.6 per cent in fiscal 2007 ",positive
The talks are aimed at restructuring operations and cutting costs ,positive
"The share sale , to foreign and Finnish investors , is expected to raise some euro300 million ( US$ 380 million ) ",neutral
"According to Schmardin , Nordea will most likely try to win customers over from other pension fund providers ",positive
"Finnish Scanfil , a systems supplier and contract manufacturer to the communications sector and the electronics industry , reports its net sales totalled EUR 94.7 mn in the first half of 2010 , down from EUR 99.5 mn in the first half of 2009 ",negative
"The order includes a new Crecent former , headbox , and reel ",neutral
Operating loss totaled EUR 25mn compared to a profit of EUR 63mn in the corresponding period in 2005 ,negative
The value of the firm 's forestry holdings increased by SEK 3.6 bn ,positive
The members of the management team will contribute to the adjustment measures with temporary salary cut of 5 % ,positive
"The offer price is $ 35 million , including cash of $ 10 million as net debt assumption of FACE , and $ 20 million worth of Cencorp shares to be issued to Savcor ",neutral
Return on capital employed rose by 4.8 percentage points to 19.6 % ,positive
"The company 's consolidated operating profit amounted to EUR 15.86 mn , up from EUR 4.14 mn year-on-year ",positive
"Elcoteq 's Electronics Manufacturing Services ( EMS ) Business Segment serves customers globally in Engineering , Manufacturing and Fulfillment services ",neutral
"Operating profit was EUR 0.6 mn , up from a loss of EUR 19mn a year earlier ",positive
The company said that it has started to investigate streamlining its operations in order to meet the tightening competition on the mobile phone charger market ,positive
The value of the order is USD 2.3 mn ,neutral
KESKO FOOD LTD PRESS RELEASE 04.01.2006 AT 13.00 Kesko Food Ltd is launching a major TV campaign to recruit as many as one hundred new K-food retailers ,positive
The order also includes start-up and commissioning services ,neutral
"Previously , the company had guided for EBIT and sales growth of 20 pct and 10 pct respectively for this year ",positive
"Meanwhile , Nokia said that it will be able to deliver a complete range of services from deployment operations to consulting and integration to managed services as a result of the buyout ",positive
The value of the three-year contract is estimated at EUR40m ,neutral
"The poorest index figure was given to Finnish power company Fortum , 4.5 ",negative
"Finnish telecoms software developer Tecnomen Oyj said on December 5 , 2006 it won a $ 3.3 mln ( 2.5 mln euro ) order to supply an expansion of the charging and messaging systems for the mobile and fixed networks of Brasil Telecom ",positive
Paper maker Stora Enso Oyj said Friday it has been acquitted of charges that it participated in a paper price-fixing conspiracy in the United States ,positive
"Net cash flow from operating activities was a negative EUR 3.1 mn , compared to EUR 23.3 mn in the corresponding period in 2009 ",negative
In July it and Quadriga Capital sold their Lewa GmbH pump-making business to Japan 's Nikkiso Co. ,neutral
Combined net sales in 2006 were $ 27 million and EBITDA was $ 13.7 million ,neutral
Sales rose 10 pct to 566 mln eur on the back of strong volume and favourable currency effects ,positive
"Talentum expects that the net sales of its core business will increase in 2008 , compared to 2007 ",positive
"Founded in 2000 , BioView automates laboratory tests , especially diagnostic tests for cancer ",neutral
"Finnish Food Workers ' Union SEL plans to hasten its collective bargaining with a two-day strike that would begin on 7 April 2010 , in Finland ",negative
The company 's board of directors has proposed a dividend of EUR0 .12 per share for 2006 ,neutral
"Simultaneously , Alma Media has purchased a 35 % share of Arena Interactive , a subsidiary of Arena Partners with a focus on mobile solutions development ",neutral
"Ruukki has signed a contract to deliver and install the steel structures for a bridge over the Kyronsalmi strait in Savonlinna , Finland ",positive
"`` We can say that the number of deals has become normalized by the moment , and therefore we have decided to devalue our apartments now on sale , '' he added ",negative
Also construction expenses have gone up in Russia ,negative
"Operating profit totaled EUR 37,7 mn , up slightly from EUR 37.2 mn in the corresponding period in 2006 ",positive
Operating profit totaled EUR 18.6 mn or 8.3 % of net sales ,neutral
Operating profit decreased to EUR 16mn from EUR 21.1 mn in 2008 ,negative
"Full-year net sales are expected to increase by approximately 10 % , the company said ",positive
Those will be partially offset by a 186 mln eur gain on the sale of its Celbi pulp plant in Portugal ,positive
Return on investment ROI was 4.1 % compared to 43.8 % in the first half of 2008 ,negative
The estimated synergy benefits are at least EUR7m annually ,positive
"Finnish financial software solutions developer BasWare Oyj said its net profit fell to 884,000 euro ( $ 1.2 mln ) for the first quarter of 2007 from 2.0 mln euro ( $ 2.7 mln ) a year earlier ",negative
"If needed , she provides also further information on ferry connections and hotels ",neutral
Comptel Corporation will publish its financial statements for 2008 on 12 February 2009 ,neutral
According to Deputy MD Pekka Silvennoinen the aim is double turnover over the next three years ,positive
"In Penttil+� 's vision , the most important reason for the transaction is Russia ",neutral
"TietoEnator was down 1.13 pct to 18.38 , extending recent lows after last week 's second-quarter report , dealers said ",negative
The enterprise value of Maritim Food AS has been determined as approximately EUR15m ,neutral
"Operating profit was EUR 139.7 mn , up 23 % from EUR 113.8 mn ",positive
Finnish media company Talentum Oyj 's net profit decreased to 2.5 mln euro ( $ 4.0 mln ) for the first quarter of 2008 from 3.0 mln euro ( $ 4.7 mln ) for the same period of 2007 ,negative
The deal strengthens Ramirent 's position especially in the industrial sector and in large investment projects ,positive
Pharmaceutical market in Poland Global Research & Data Services published recently a market analysis about the pharmaceutical markets in Poland ,neutral
Finnish financial group Aktia 's operating profit for 2009 increased to EUR 47.0 mn from EUR 6.6 mn in 2008 ,positive
"HELSINKI ( Thomson Financial ) - M-real said it will exercise an option to buy a 50MW natural gas power plant and land in Kyroskoski , Finland , for around 13 mln eur from Kyro Oyj ",positive
"- Demand for fireplace products was lower than expected , especially in Germany ",negative
"Nonwovens and specialty papers , made by Ahlstrom , are used in a large variety of everyday products , e.g. in filters , wipes , flooring , labels , and tapes ",neutral
"This could be any of us at any time , '' she said ",neutral
"However , Biohit estimates its total net sales will continue to grow in 2009 , and that favourable trends in net sales will lead to a profit in 2009 ",positive
Deliveries have started and the network will be ready for a launch soon ,positive
"Operating profit excluding non-recurring items amounted to EUR 40.6 mn , down from EUR 57.3 mn year-on-year ",negative
"In January-August 2009 , imports by sea in container , lorry , and trailer units fell by 27.7 % and exports by 28.6 % from the corresponding period in 2008 ",negative
"Production levels have been agreed with producers a long time ago , so a fall in consumption will lead to losses ",negative
"The dollar fell , though , against the pound and the yen ",negative
"The OMX Nordic 40 OMXN40 index , comprising the 40 most traded Nordic stocks on the Nasdaq OMX exchange , closed down 0.87 % at 1,064.14 points on Thursday ",negative
Jacobs has been supporting Storengy 's investment of developing storage sites since 2006 as owner 's engineer ,neutral
"Operating profit for the three-month period decreased from EUR1 .65 m while net sales increased from EUR14 .6 m , as compared to the corresponding period in 2005 ",negative
"The one dark spot on the horizon , however , was the company 's performance in the Finnish bottled water market ",negative
"HELSINKI ( AFX ) - Shares closed higher , led by Nokia after it announced plans to team up with Sanyo to manufacture 3G handsets , and by Nokian Tyres after its fourth-quarter earnings report beat analysts ' expectations , dealers said ",positive
"EUR928 ,000 in Q1 2010 6 May 2010 - Finnish textile and clothing design company Marimekko Oyj ( HEL : MMO1V ) said today its net profit rose to EUR928 ,000 in the first quarter of 2010 from EUR13 ,000 in the corresponding period a year earlier ",positive
Operating loss amounted to EUR 0.7 mn compared to a profit of EUR 0.8 mn in the second quarter of 2005 ,negative
Kone shares dropped 4.1 percent to  x20ac 43 US$ 55.77 in Helsinki ,negative
"Compared with the FTSE 100 index , which rose 51.5 points ( or 0.9 % ) on the day , this was a relative price change of -0.6 % ",neutral
"YIT CORPORATION SEPT. 24 , 2007 at 13:30 CORPORATE RELEASE STOCK EXCHANGE RELEASE YIT 'S CAPITAL MARKETS DAY IN LONDON , SEPT. 26 , 2007 On Wednesday , September 26 , 2007 , YIT will hold a Capital Markets Day for investors and analysts in London ",neutral
The MET is located in the Central Business District ( CBD ) of Bangkok ,neutral
Loss after taxes amounted to EUR 1.2 mn compared to a loss of 2.6 mn ,positive
"Arvo Vuorenmaa , the Loviisa plant 's general manager said the application for the new licence was a `` standard '' procedure and that he was `` quite confident '' about approval being granted ",positive
"Finnish metal products company Componenta Oyj ( HEL : CTH1V ) said today its net loss narrowed to EUR 500,000 ( USD 680,000 ) in the last quarter of 2010 from EUR 5.3 million for the same period a year earlier ",positive
"International sales rose by 59.8 % to EUR 1,244.4 mn ",positive
`` The combined activities will create value for shareholders and be good for our employees and customers ,positive
Vaisala 's expertise in lightning data and information systems is based on extensive experience and investment in R&D ,neutral
"Mformation and Nokia noted they have established interoperability agreements that cover commercially proven , standards-based management of mobile devices , as well as mobile device security and mobile application management ",positive
"Operating result showed a loss of EUR 2.9 mn , while a year before , it showed a profit of EUR 0.6 mn ",negative
Operating profit fell to EUR 38.1 mn from EUR 55.3 mn in 2007 ,negative
"After the reporting period , BioTie North American licensing partner Somaxon Pharmaceuticals announced positive results with nalmefene in a pilot Phase 2 clinical trial for smoking cessation ",positive
"Water Treatment Products In Australia Today , Global Research & Data Services is going to publish a market analysis about the market for chemical water treatment products in Australia ",neutral
The total capacity of the factory will be approximately 100 engines a year ,neutral
"More than 50,000 tonnes of asphalt mix will be used in the contract ",neutral
"Strongest growth was seen in the new markets in Russia , the Czech Republic , and Slovakia ",positive
The aim is to achieve EUR 2.5 mn yearly savings ,positive
"Operating result , excluding one-off items , totaled EUR 9.1 mn compared to EUR 10.6 mn in continuing operations , excluding one-off items in 2004 ",negative
"The order comprises all production lines for a plywood mill , company said in a statement received by Lesprom Network ",neutral
Public services will also be available ,neutral
These six agreements are the company 's first customer acquisitions in India since taking over TVS Electronics ' contract manufacturing facility in Jun 2007 ,neutral
"To our members and partners , the use of IT will mostly be apparent in the increased efficiency of the results service , '' observes Perttu Puro from Tradeka ",positive
Also Lemmink+�inen 's profit for accounting period went up to EUR 3.1 mn from EUR -24.5 mn a year ago ,positive
Componenta will also offer a five-year subordinated loan for subscription by the public ,neutral
TeliaSonera said about $ 100 million will be invested in the next year in the region to bring mobile coverage to about 90 % of Nepal s population ,positive
Finnish media group Talentum has issued a profit warning ,negative
"At the request of Finnish media company Alma Media 's newspapers , research manager Jari Kaivo-oja at the Finland Futures Research Centre at the Turku School of Economics has drawn up a future scenario for Finland 's national economy by using a model developed by the University of Denver ",neutral
"At the close , the OMX Helsinki 25 was 0.01 pct lower at 3,067.64 points and the OMX Helsinki was down 0.05 pct at 10,321.46 points on over 1.343 bln eur of turnover ",negative
"Thanks to the internet , consumers compare products more than previously and Finnish companies are not competitive ",negative
"Operating margin , however , slipped to 14.4 % from 15.1 % , dragged down by a poor performance in enterprise solutions ",negative
"Operating loss of the Pulp & Paper Machinery unit was over EUR 3mn in September 2007 - August 2008 , compared to a profit of EUR 3.7 mn a year earlier ",negative
"The result will also be burdened by increased fixed costs associated with operations in China , and restructuring costs in Japan ",negative
Talentum acquired a 47.5 pct stake in Varesvuo Partners in 1997 and the remaining in 2002 and 2005 ,neutral
Net sales surged by 30 % to EUR 36 million ,positive
"`` Following last year 's good profit development , we have entered the current year in a good position ",positive
"Profit per share was EUR 1.03 , up from EUR 0.87 ",positive
"The selling consortium includes funds managed by OKO Bank 's venture capital unit , Bio Fund Management and Finnish Industry Investment , a government-owned investment group ",neutral
"HELSINKI ( Thomson Financial ) - Kone said it has won four orders in Saudi Arabia , United Arab Emirates and Qatar worth 40 mln eur ",positive
"ADPnews - Sep 28 , 2009 - Finnish silicon wafers maker Okmetic Oyj HEL : OKM1V said it will reduce the number of its clerical workers by 22 worldwide as a result of personnel negotiations completed today ",negative
"As a result of the merger , the largest professional electronics and telecommunications technology contract manufacturing center in Finland will be formed in Sievi ",neutral
"( ADP News ) - Feb 4 , 2009 - Finnish broadband data communication systems and solutions company Teleste Oyj ( HEL : TLT1V ) said today its net profit decreased to EUR 5.5 million ( USD 7.2 m ) for 2008 from EUR 9.4 million for 20",negative
"Honkarakenne 's customer in this project is one of the biggest real estate companies in Kazakhstan , according to the company ",neutral
Finnish Bank of +�land reports its operating profit fell to EUR 4.9 mn in the third quarter of 2007 from EUR 5.6 mn in the third quarter of 2006 ,negative
"The Finnish national carrier said net loss in April through June was euro26 million , down from a net profit of euro13 million a year earlier ",negative
"( Filippova ) A trilateral agreement on investment in the construction of a technology park in St Petersburg was to have been signed in the course of the forum , Days of the Russian Economy , that opened in Helsinki today ",positive
Pretax profit totaled EUR 4.9 mn compared to EUR 5.2 mn in the first quarter of 2005 ,negative
"Companies evaluated in the report include Aladdin , CA , F-Secure , Kaspersky , Marshal , McAfee , Microsoft , Panda , Proofpoint , Sophos , Symantec , Trend Micro , Tumbleweed , and Websense ",neutral
"Profitability ( EBIT % ) was 13.6 % , compared to 14.3 % in Q2 2009 ",negative
"Raute , headquartered in Nastola , Finland , is a technology company serving the wood products industry worldwide ",neutral
"Operating loss totalled EUR 12.7 mn , compared to a profit of EUR 17.7 mn in the first half of 2008 ",negative
The bridge is part of the highway 14 development project ,neutral
Cargo volume grew by 7 % ,positive
"Finnish-owned contract manufacturer of electronics Elcoteq Hungary Kft has announced plans to recruit more than 650 new staffers to fulfill new orders in P+�cs , where the company has two plants ",positive
"As a result , the company currently anticipates net sales to increase and the operating result to be positive ",positive
The serial bond is part of the plan to refinance the short-term credit facility ,neutral
"The contracts between Raute Corporation and Muling Kemian Wood Products Co. , Ltd. , which were announced on 3 November 2010 , have taken effect ",neutral
"In January-September 2007 , Finnlines ' net sales rose to EUR 505.4 mn from EUR 473.5 mn in the corresponding period in 2006 ",positive
"Jul. 18 -- Police are looking for a man who they say terrorized three males at gunpoint on East Maple Avenue this afternoon , shooting one of them and kidnapping another ",negative
"When this information was released on 5 September 2008 , Nokia 's American Depositary shares fell by 8 % ",negative
The incident happened at 2:30 p.m. on Avenue 192 at Road 196 ,neutral
"Operating loss totalled EUR 3.2 mn , compared to a profit of EUR 7.2 mn in the third quarter of 2008 ",negative
Finnish Outotec has been awarded a contract to supply a new zinc roaster with gas cleaning and sulphuric acid plant for the OZK Kardzhali zinc smelter in Bulgaria ,positive
"Copper , lead and nickel also dropped ... HBOS ( HBOS ) plummeted 20 % to 70.3 pence after saying this year+� ?",negative
"In Finland 's Hobby Hall 's sales decreased by 10 % , and international sales fell by 19 % ",negative
The measures taken will cause one-time costs during the final part of 2006 ,neutral
Delivery is due in the second half of 2011 ,neutral
It posted a turnover of 4.5 mln euro $ 6.1 mln and an operating profit of 1.5 mln euro $ 2.0 mln for 2006 ,neutral
"Satama 's net profit for the third quarter of 2007 rose to 275,000 euro ( $ 395,000 ) from 270,000 euro ( $ 388,000 ) for the same period of 2006 ",positive
An individual promotion also generated slightly higher-than-expected revenues ,positive
LSC 's 30 employees will move to Ixonos with their existing status and benefits ,neutral
"Finnish Exel Composites , a technology company that designs , manufactures , and markets composite profiles and tubes for various industrial applications , reports its net sales decreased by 0.6 % in the second quarter of 2010 to EUR 19.2 mn from EUR 19.3 mn in the corresponding period in 2009 ",negative
Scanfil has also issued a profit warning ,negative
`` Fixed Mobile Convergence solutions represent a key value proposition in today 's communication market ,neutral
"However , the company saw its net profit for the third quarter down to EUR1 .4 m from EUR1 .5 m for the corresponding period of 2009 ",negative
Aktia forecasts Finland 's inflation at 1.1 % in 2010 ,neutral
LONDON MarketWatch -- Share prices ended lower in London Monday as a rebound in bank stocks failed to offset broader weakness for the FTSE 100 ,negative
EuroChem Head of Corporate Finance Alexander Gavrilov said : `` I am pleased that we have once again confirmed that EuroChem is able to attract long-term funds at attractive rates ,positive
"Profit for the period totalled EUR 1.1 mn , down from EUR 1.6 mn in the third quarter of 2008 ",negative
One of my colleagues summed up the E7 quite aptly when he remarked : `` Fantastic hardware ,positive
The reduction notice applied to 17 people ,negative
Viking Line has canceled some services ,negative
"On the other hand , Finnish sawmills ' production has decreased even more ",negative
"Due to Pirkka beer , Olvi 's brewery in Iisalmi is moving to 7-day , 24-hour work shifts ",neutral
The original patent was filed in Finland under application No. ,neutral
55 workers in +�m+�l will be affected by the close-down ,negative
The Group 's revenue in 2008 amounted to EUR 94 million and the company currently employs approximately 730 people ,neutral
With this appointment Kaupthing Bank aims to further co-ordinate Capital Markets activities within the Group and to improve the overall service to clients ,positive
"Neste Oil Corp. has signed long-term procurement contracts with Honkajoki Oy and Findest Protein Oy , both owned by Finnish food manufacturers , for the supply of animal fat for biodiesel production at Neste 's 200,000 b-cd Porvoo , Finland , refinery ",positive
"Helsinki-based Componenta bought Turkish listed company Doktas in October 2006 for 89 million euros , making it the largest Finnish investment in Turkey to date ",neutral
The repurchases shall decrease the distributable capital and reserves ,negative
"The Group 's business sectors are Building Construction , Infrastructure Construction , Technical Building Services , and Building Products ",neutral
Finnish Cargotec 's Kalmar has received a significant order from the US Department of Defense ,positive
Affecto expects its net sales for the whole 2010 to increase from the 2009 level when they reached EUR 103 million ,positive
"SCOPI Chief Business Excellence Officer , Eng ",neutral
"`` Last year , Finnair recorded a 32.6-percent growth on the Asian sector , carrying more than 1.10 million passengers between the two continents . '",positive
The move was triggered by weak demand for forestry equipment and the uncertain market situation ,negative
Hearst will be able to consolidate about 20 % of all Russian market for advertising in press after the purchase ,positive
Net sales decreased to EUR 91.6 mn from EUR 109mn in the corresponding period in 2005 ,negative
"Under the plan , which CSES worked out together with Public Policy Management Institute ( PPMI ) and other partners , buildings with a total area of 10,000 square meters should be built on the territory in the first phase ",neutral
"Pretax loss totalled EUR 49.9 mn , compared to a loss of EUR 15.4 mn in the corresponding period in 2008 ",negative
The company reported today an operating loss of EUR0 .1 m on net sales of EUR4 .5 m for the first quarter 2008 ,negative
"Thus the method will cut working costs , and will fasten the planning and building processes ",positive
27 January 2011 - Finnish IT solutions provider Affecto Oyj ( HEL : AFE1V ) said today it has won a EUR1 .2 m ( USD1 .6 m ) contract from state-owned Lithuanian Social Insurance Institution ( SODRA ) ,positive
Ms Laakso will be responsible for HKScan 's HR functions and for their development in all of the Group ` smarket areas ,neutral
"Dealers said the share was largely hit by investor disappointment about a refining margin of just 9.48 usd per barrel for the quarter and the performance of its shipping unit , which saw EBIT drop to 5 mln eur from 20 mln eur a year amid a fall in volumes and tanker rates ",negative
"Neste Oil extended yesterday 's gains and put on 0.49 pct to 22.72 eur , while utility Fortum shed 1.14 pct to 20.76 eur ",neutral
`` We know there are some of our own people out there . ',neutral
"Cost savings will then rise to some 20 mln eur a year from 2007 , OKO said ",positive
It is a disappointment to see the plan folded ,negative
"Jeder Beta-Tester erh+�lt kostenlos sechs Monate lang Updates und hat laut eigener Aussage die M+�glichkeit , die finale Version zu beeinflussen ",neutral
Curators have divided their material into eight themes ,neutral
Orders received grew by 55 % year-on-year to EUR732m ,positive
`` Management decided at the end of 2005 to increase cathode copper capacity ,neutral
"In addition to Russia , we now seek additional growth in Ukraine ",positive
Chief Financial Officer Jim Heindlmeyer said Beyond Oblivion is in advanced talks with the four major recording companies about its service ,neutral
"Operating profit , excluding non-recurring items , totaled EUR 0.2 mn , down from EUR 0.8 mn in the corresponding period in 2006 ",negative
Other details were not provided ,neutral
"Operating profits in the half were  0.8 m , down from  0.9 m as Glisten invested in the brand and the management team ",negative
Net sales dropped by 6 % year-on-year to EUR 11.9 million ,negative
"Maximum amount of terminations in Finland is 40 employees , the company added ",neutral
What we think ,neutral
Finnish-Swedish TietoEnator is expanding its business quickly in Russia ,positive
"Operating profit totalled EUR 30.2 mn , down from EUR 43.8 mn a year earlier ",negative
"However , the company saw its net profit for the third quarter down to EUR 1.4 million from EUR 1.5 million for the corresponding period of 2009 ",negative
"Finnish steel maker Rautaruukki Oyj ( HEL : RTRKS ) , or Ruukki , said today its net loss contracted to EUR 49 million ( USD 68.2 m ) for the first nine months of 2010 from EUR 229 million for the same period a year ago ",positive
"`` This is a significant milestone for Benefon , helping us to secure critical USP 's for our personal navigation product roadmap for 2007 and beyond , '' commented Simon Button , Chief Technology Officer at Benefon ",positive
`` Leipurin is a growing and rapidly internationalizing Group ,positive
The price for logs has clearly improved from 2009 and also the price of pulpwood has gone up ,positive
"Following the demerger , the vice president of the group 's pharmaceutical trade in Finland , Jukka Niemi , will be appointed managing director of Oriola in addition to his current responsibilities ",neutral
"Tulikivi manufactures heat-retaining , soapstone and ceramic fireplaces , as well as natural stone products and utility ceramics ",neutral
Rautaruukki Corporation Stock exchange release 3 December 2009 at 12 noon Ruukki 's construction and engineering divisions are to further improve and adjust their operations in Finland ,positive
- Cash flow from operating activities before investments was EUR 0.8 -1.2 million ,neutral
The net sales of the whole fiscal year 2008 will be lower than in 2007 and operating profit is estimated to be negative ,negative
"Danske Bank A-S DANSKE DC jumped 3.7 percent to 133.4 kroner , rebounding from yesterday s 3.5 percent slide ",positive
Finnish food company Raisio Oyj HEL : RAIVV said on Friday it has wrapped up the divestment of its margarine operations to US sector player Bunge Ltd NYSE : BG for EUR80m USD119 .2 m ,neutral
Tekla Group 's net sales for 2005 were approximately 38 million euros ,neutral
"Finnish Suominen Flexible Packaging is cutting 48 jobs in its unit in Tampere and two in Nastola , in Finland ",negative
"According to Finnish FIM Bank , Alpro 's price would be around EUR 100mn-150mn ",neutral
"London 's leading shares today jumped almost 100 points , or 1.7 % , as the market opened ",positive
The production is to be liquidated before June 2009 and 325 employees loose their jobs ,negative
"At this growth rate , paying off the national debt will be extremely painful ",negative
"The latest date for registration is on 4 April , 2006 ",neutral
"For the first nine months of 2010 , Talvivaara 's net loss narrowed to EUR 8.3 million from EUR 21.9 million for the same period of 2009 ",positive
"The company said that the operations will be sold to a newly established company , CPS GmbH , where the present management of the plastics business is a co-owner ",neutral
20 October 2010 - Finnish metal products company Componenta Oyj HEL : CTH1V said yesterday that its net loss narrowed to EUR7m for the first nine months of 2010 from EUR23 .3 m for the same period of 2009 ,positive
"However , its market share shrank to 47.59 per cent from 48 per cent a year earlier ",negative
"However , sales volumes in the food industry are expected to remain at relatively good levels in Finland and in Scandinavia , Atria said ",positive
"Pretax profit totalled EUR 2.0 mn , compared to a loss of EUR 159.2 mn in the fourth quarter of 2008 ",positive
"In Finland 's Hobby Hall 's sales decreased by 10 % , and international sales fell by 19 % ",negative
"Separately , YIT Corporation and Austrian firm E AG last week signed an agreement on the sale of E 's building system service business in Germany , Austria , Poland , the Czech Republic , Hungary and Romania for EUR 55 mln ",positive
Arena Partners Oy is a development company for electronic business ,neutral
Earnings per share ( EPS ) amounted to a loss of EUR0 .05 ,negative
Scanfil plc is a global contract manufacturer and systems supplier for communication and industrial electronics ,neutral
"EPS for the quarter was EUR0 .00 , as compared with EUR0 .01 in the third quarter of 2008 , representing a Group net sales for the third quarter were EUR15 .3 m , up by 2.8 % as compared with EUR14 .9 m in the third quarter of 2008 ",positive
"Rapala VMC Corporation STOCK EXCHANGE RELEASE October 10 , 2008 at 11.45 am Kaupthing Bank Oyj ( `` Kapthing '' ) has informed Rapala VMC Corporation ( `` Rapala '' ) that it has interrupted the liquidity providing for Rapala 's share for the time being ",negative
"Its customers include local companies Slo Oy , Kiilto Oy , Toptronics Oy , Normark Suomi Oy , Pellonpaja Oy and Mansner Oy ",neutral
"Sukhraj Dulai , of the 2900 block of Boni Sue Court , a cul-de-sac on the city 's north side , started the vehicle and went inside his house about 8 a.m. Tuesday , leaving the garage door open ",neutral
The move was triggered by weak demand for forestry equipment and the uncertain market situation ,negative
Finnish component supplier Componenta Corporation OMX Helsinki : CTH1V said on Monday 16 June that it is changing its pricing cycle due to the increase of raw material prices ,neutral
"Operating profit for the 12-month period decreased from EUR157 .5 m , while net sales increased from EUR634 .3 m , as compared to 2007 ",negative
"Swedish engineering consultant firm Etteplan is to establish a unit in town Borl+�nge , by the turn of the month March-April 2008 ",neutral
"4 February 2011 - Finnish broadband data communication systems provider Teleste Oyj HEL : TLT1V said Wednesday its net profit rocketed to EUR4 .8 m in 2010 from EUR416 ,000 in 2009 and it lifted its dividend proposal ",positive
"However , the orders received during the period under review fell by 17 % quarter-on-quarter from the EUR 213 million recorded in the second quarter of 2010 ",negative
"At this stage , a maximum of 60,000 Tulikivi Series A shares will be acquired , representing about 0.16 per cent of the company -� s shares outstanding ",neutral
"External net sales from the printing business fell by 43.7 % , partly due to the termination of the printing contract between Ilkka-Yhtyma 's printing house I-print Oy and sector player HSS Media AB in December 2009 and the fall in printing prices ",negative
Financial details were not disclosed ,neutral
"The workforce will be reduced also in the Amsterdam office , in the Netherlands ",negative
"After the split , the number of K shares will be 9 540 000 and the number of A shares 26 885 540 ",neutral
Revenue grew 12 percent to (  x20ac ) 3.6 billion ( US$ 4.5 billion ) ,positive
"The tests , conducted at Nokia Siemens ' LTE center of competence in Espoo , Finland , follow the company 's production start of LTE-ready Flexi Multiradio Base Stations for the 800 MHz band in April 2010 , and complement earlier tests with Nokia on the 2100 MHz and 2600 MHz bands ",neutral
